"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"Antarctica","2","5","0","0","3","0","0","0","0","0","10"
"Bouvet Island","2","1","0","0","1","0","0","0","0","0","4"
"French Southern Territories","4","15","6","0","12","0","0","3","0","0","40"
"Heard Island and McDonald Islands","2","10","0","0","2","0","0","0","0","0","14"
"South Georgia and the South Sandwich Islands","3","6","0","0","2","0","0","0","0","0","11"
"Anguilla","1","6","7","0","49","0","26","3","0","0","92"
"Antigua and Barbuda","2","9","7","0","49","0","26","2","0","0","95"
"Aruba","2","7","2","0","51","2","25","5","0","0","94"
"Bahamas","5","16","13","0","64","1","28","29","0","0","156"
"Barbados","3","9","6","0","48","0","26","4","0","0","96"
"Bermuda","4","9","3","0","38","2","36","8","0","0","100"
"Bonaire, Sint Eustatius and Saba","3","7","6","0","53","0","27","7","0","0","103"
"Cayman Islands","1","8","10","0","45","2","28","23","0","0","117"
"Cuba","11","24","43","48","65","0","39","466","0","0","696"
"Curaçao","3","6","4","0","48","0","26","5","0","0","92"
"Dominica","3","12","2","2","49","0","25","20","0","0","113"
"Dominican Republic","5","23","57","35","49","0","37","180","0","0","386"
"Grenada","3","8","6","1","50","0","27","7","0","0","102"
"Guadeloupe","4","10","14","3","48","1","26","20","0","0","126"
"Haiti","3","23","66","45","63","0","30","297","0","0","527"
"Jamaica","7","16","27","20","49","0","30","258","0","0","407"
"Martinique","1","11","8","2","46","2","23","19","1","0","113"
"Montserrat","2","9","4","1","46","0","26","8","0","0","96"
"Puerto Rico","2","19","15","14","50","0","26","110","1","0","237"
"Saint Barthélemy","2","6","4","0","37","0","25","2","0","0","76"
"Saint Kitts and Nevis","2","9","5","1","48","0","26","5","0","0","96"
"Saint Lucia","2","13","8","0","47","0","25","16","0","0","111"
"Saint Martin (French part)","2","7","6","0","44","0","25","2","0","0","86"
"Saint Vincent and the Grenadines","2","10","7","1","46","0","26","8","0","0","100"
"Sint Maarten (Dutch part)","2","6","6","0","44","0","25","1","0","0","84"
"Trinidad and Tobago","3","10","6","4","63","0","26","64","0","0","176"
"Turks and Caicos Islands","2","9","7","0","46","0","25","11","0","0","100"
"Virgin Islands, British","1","8","14","2","49","0","26","26","0","0","126"
"Virgin Islands, U.S.","1","9","13","3","48","0","24","23","0","0","121"
"China","80","87","56","149","381","16","145","841","8","0","1,763"
"Hong Kong","6","25","8","6","36","1","40","18","0","0","140"
"Japan","29","48","25","45","173","62","211","76","16","0","685"
"Korea, Democratic People's Republic of","10","33","2","2","54","0","4","20","2","0","127"
"Korea, Republic of","12","36","3","9","85","6","24","39","3","0","217"
"Macao","0","8","2","1","21","0","25","0","0","0","57"
"Mongolia","10","27","0","0","1","0","2","1","4","0","45"
"Taiwan, Province of China","12","28","15","10","153","4","203","94","2","0","521"
"Åland Islands","0","0","0","0","0","0","0","1","3","0","4"
"Albania","5","10","6","3","71","58","25","5","0","0","183"
"Andorra","4","4","2","1","0","2","4","1","3","0","21"
"Austria","6","14","1","2","16","49","71","38","66","0","263"
"Belgium","4","11","0","1","23","6","20","3","33","0","101"
"Bosnia and Herzegovina","6","11","3","4","55","26","37","5","1","0","148"
"Bulgaria","11","20","3","2","20","57","45","13","14","0","185"
"Croatia","10","15","4","4","82","57","50","10","33","0","265"
"Czechia","6","12","0","2","2","8","46","31","45","0","152"
"Denmark","2","13","0","0","28","6","16","2","44","0","111"
"Estonia","2","13","0","0","4","4","10","2","38","0","73"
"Faroe Islands","4","6","0","0","25","0","1","1","4","0","41"
"Finland","3","14","0","0","3","4","17","4","43","0","88"
"France","13","24","6","6","85","107","147","68","78","0","534"
